,BST,BSTRec
0,1.6791441738434613e-07,2.8497280036056534e-07
185,6.854574659565857e-07,1.2419268995130417e-06
370,7.816468303544669e-07,1.4981119573082126e-06
555,8.420841180967218e-07,1.6291419742628932e-06
740,8.808963199428052e-07,1.752057797360926e-06
925,9.038702706558579e-07,1.8186543271406937e-06
1110,9.527893794632149e-07,1.8681649048171868e-06
1295,9.434003246213318e-07,1.920003228214219e-06
1480,9.77264306029527e-07,1.9153820643406534e-06
1665,9.821005776490366e-07,1.9636547936280387e-06
1850,9.914021437064907e-07,2.0606019843899467e-06
2035,1.01632999422866e-06,2.046519722746805e-06
2220,1.0324417060206925e-06,2.104084977213669e-06
2405,1.044657352645326e-06,2.093188590669167e-06
2590,1.0618713487862448e-06,2.1056452394386226e-06
2775,1.0705012486341897e-06,2.199799969467685e-06
2960,1.08630717582488e-06,2.152957430177736e-06
3145,1.1017031907830217e-06,2.1594692461636907e-06
3330,1.1550642874672872e-06,2.226434708914694e-06
3515,1.1050033141696535e-06,2.1909860554450283e-06
3700,1.1371097307430084e-06,2.2295491616113472e-06
3885,1.1216649153363814e-06,2.241736888851321e-06
4070,1.1481694340996375e-06,2.3386866012331815e-06
4255,1.1449961072910543e-06,2.391594525110489e-06
4440,1.141930806424913e-06,2.331758025871299e-06
4625,1.186565984117397e-06,2.2971881713735265e-06
4810,1.1766790401686086e-06,2.3044192599594046e-06
4995,1.1915409533785434e-06,2.3501190749945443e-06
5180,1.1874540920429136e-06,2.3163934729549043e-06
5365,1.1476034665941645e-06,2.2971485089937892e-06
5550,1.1815402385513853e-06,2.386206065714701e-06
5735,1.1433414706891966e-06,2.3432569866658214e-06
5920,1.1953251455577279e-06,2.3125537293065987e-06
6105,1.2438808698121697e-06,2.3587169531527738e-06
6290,1.245894687198991e-06,2.350093388861609e-06
6475,1.2347699429224664e-06,2.3895017898838045e-06
6660,1.2009866789854858e-06,2.4325064161296833e-06
6845,1.2214430501052273e-06,2.4263881992787944e-06
7030,1.2017183407389243e-06,2.437309089646495e-06
7215,1.2451739513973167e-06,2.4144449068335903e-06
7400,1.264825695057596e-06,2.422425770969771e-06
7585,1.2079877373036168e-06,2.417501906966876e-06
7770,1.2478379707851814e-06,2.465846862883196e-06
7955,1.2481202213349966e-06,2.4447097462268736e-06
8140,1.2477617208854457e-06,2.496235287286888e-06
8325,1.2551364478219403e-06,2.449152758345008e-06
8510,1.2113960233405916e-06,2.453102859446283e-06
8695,1.2393609018261554e-06,2.4331511455425703e-06
8880,1.2264865313853146e-06,2.4710187096781004e-06
9065,1.2720593308961582e-06,2.471006120802886e-06
9250,1.2471143534372843e-06,2.4631925561644752e-06
9435,1.2765198875509134e-06,2.484593171959555e-06
9620,1.284279194105109e-06,2.4592297230719017e-06
9805,1.2583518187182213e-06,2.4741282878836633e-06
9990,1.2574190265336714e-06,2.491010403166602e-06
10175,1.265636058908742e-06,2.4646498153943125e-06
10360,1.3039048030596534e-06,2.5243184213107877e-06
10545,1.2433374334776073e-06,2.520482832301032e-06
10730,1.260524515250544e-06,2.5137401722081073e-06
10915,1.2944908652437526e-06,2.465829019298042e-06
11100,1.298995590298821e-06,2.5612251969789148e-06
11285,1.2646928566311478e-06,2.5032125135729894e-06
11470,1.250807221534602e-06,2.4960241942675017e-06
11655,1.300605267089783e-06,2.5177203159386274e-06
11840,1.3217138940331723e-06,2.565570026123469e-06
12025,1.2851328890206754e-06,2.550833162193725e-06
12210,1.2988453055945558e-06,2.474740488292359e-06
12395,1.273804762904797e-06,2.4852674655240336e-06
12580,1.288772437832566e-06,2.528621101700658e-06
12765,1.2513152911079995e-06,2.520546335257043e-06
12950,1.2984299453385517e-06,2.577162092474691e-06
13135,1.2743229638152849e-06,2.5156237689111757e-06
13320,1.2894476659237107e-06,2.516301217437679e-06
13505,1.2801507618192823e-06,2.4959673056242254e-06
13690,1.2383927418124102e-06,2.510861685892584e-06
13875,1.321131865485409e-06,2.6002169048430722e-06
14060,1.288151309757126e-06,2.5391377297170256e-06
14245,1.298962168421152e-06,2.467413870788632e-06
14430,1.2768667977337444e-06,2.5032329236353756e-06
14615,1.3019968445814394e-06,2.5591282494400345e-06
14800,1.3342480647266596e-06,2.5535490643660274e-06
14985,1.2815945574569457e-06,2.4744517270287653e-06
15170,1.2977083412281006e-06,2.508324353075629e-06
15355,1.317440636814871e-06,2.5430631731987135e-06
15540,1.2954657858904076e-06,2.546508038211443e-06
15725,1.3062018802850892e-06,2.576005624803723e-06
15910,1.287448526479714e-06,2.532029906800444e-06
16095,1.2959095835258517e-06,2.5449429815976854e-06
16280,1.292296883932084e-06,2.594784695714917e-06
16465,1.321640854633046e-06,2.541669407312613e-06
16650,1.3049352976040692e-06,2.5755169175548155e-06
16835,1.3494538388924178e-06,2.554267626725684e-06
17020,1.2722113607622204e-06,2.6148628163655552e-06
17205,1.2803167593879027e-06,2.5571352714638507e-06
17390,1.2672522848625797e-06,2.519210465166957e-06
17575,1.3019111297956301e-06,2.5686880246813006e-06
17760,1.2821510696886192e-06,2.587661034974415e-06
17945,1.2998057223873537e-06,2.5951357434478103e-06
18130,1.2772533211669106e-06,2.5330255440342316e-06
18315,1.274527124248855e-06,2.55841023177592e-06
18500,1.282617425195736e-06,2.5309335649731235e-06
